Park,Ride,Year Constructed,Height (ft),Max Speed (mph),Inversions
Six Flags Over Texas,Batman: The Ride,1999,105,50,5
Six Flags Over Texas,Joker,2017,120,38,0
Six Flags Over Texas,Judge Roy Scream,1980,71,45,0
Six Flags Over Texas,La Vibora,1986,60,32,0
Six Flags Over Texas,Mr. Freeze,1998,218,70,1
Six Flags Over Texas,New Texas Giant,2011,153,65,0
Six Flags Over Texas,Pandemonium,2008,53,31,0
Six Flags Over Texas,Runaway Mountain,1996,65,40,0
Six Flags Over Texas,Shockwave,1978,116,60,2
Six Flags Over Texas,Titan,2001,245,85,0
Kings Island,Backlot Stunt Coaster,2005,45,40,0
Kings Island,Banshee,2014,167,68,7
Kings Island,Bat,1993,78,51,0
Kings Island,Beast,1979,110,64,0
Kings Island,Diamondback,2009,230,80,0
Kings Island,Flight of Fear,1996,74,54,4
Kings Island,Invertigo,1999,131,50,3
Kings Island,Mystic Timbers,2017,109,53,0
Kings Island,Orion,2020,287,91,0
Kings Island,Racer,1972,88,53,0
Cedar Point,Blue Streak,1964,78,40,0
Cedar Point,Corkscrew,1976,85,48,3
Cedar Point,GateKeeper,2013,170,67,6
Cedar Point,Magnum XL-200,1989,205,72,0
Cedar Point,Maverick,2007,105,70,2
Cedar Point,Millennium Force,2000,310,93,0
Cedar Point,Raptor, 1994,137,57,6
Cedar Point,Rougarou, 2015,145,60,4
Cedar Point,Steel Vengeance,2019,205,74,4
Cedar Point,Valravn,2016,223,75,3
