Park,Ride,Date,Time,Queue Time
Kings Island,Bat,2023-02-25,2023-02-25 13:52:42.145644,0:00:04.242215
Six Flags Over Texas,New Texas Giant,2023-02-25,2023-02-25 13:53:05.576477,0:00:04.005254
Six Flags Over Texas,Judge Roy Scream,2023-02-25,2023-02-25 13:57:15.849426,0:00:03.700339
Kings Island,Orion,2023-02-25,2023-02-25 13:58:56.432152,0:00:04.763597
Kings Island,Flight of Fear,2023-02-25,2023-02-25 13:59:43.086052,0:00:03.345852
Kings Island,Banshee,2023-02-25,2023-02-25 14:00:29.313734,0:00:02.260662
Six Flags Over Texas,Joker,2023-02-25,2023-02-25 14:05:03.087350,0:00:03.207736
Cedar Point,Corkscrew,2023-02-25,2023-02-25 14:05:26.435904,0:00:03.072511
Cedar Point,Blue Streak,2023-02-25,2023-02-25 14:05:52.695681,0:00:03.837382
Kings Island,Beast,2023-02-25,2023-02-25 14:06:21.908420,0:00:02.768147
Cedar Point,Magnum XL-200,2023-02-25,2023-02-25 14:06:36.683734,0:00:04.637852
Kings Island,Diamondback,2023-02-25,2023-02-25 14:07:49.712191,0:00:04.866481
Kings Island,Banshee,2023-02-25,2023-02-25 14:15:52.222753,0:00:02.219220
Kings Island,Bat,2023-02-25,2023-02-25 14:16:01.923679,0:00:02.390556
Kings Island,Mystic Timbers,2023-02-25,2023-02-25 14:16:33.881077,0:00:02.610274
Cedar Point,Valravn,2023-02-25,2023-02-25 14:16:46.847593,0:00:02.737298
Kings Island,Diamondback,2023-02-25,2023-02-25 14:17:25.985639,0:00:00.424457
Cedar Point,GateKeeper,2023-02-25,2023-02-25 14:18:45.966337,0:00:02.830068
Kings Island,Banshee,2023-02-25,2023-02-25 14:27:58.984018,0:00:01.446646
Kings Island,Banshee,2023-02-25,2023-02-25 14:28:47.561415,0:00:02.334724
Kings Island,Bat,2023-02-25,2023-02-25 16:22:49.174850,0:00:04.254056
Cedar Point,Steel Vengeance,2023-02-25,2023-02-25 20:25:57.879936,0:00:03.648268
Cedar Point,Magnum XL-200,2023-02-26,2023-02-26 02:31:29.547665,0:00:01.959592
Kings Island,Banshee,2023-02-26,2023-02-26 02:32:28.029636,0:00:01.248227
Cedar Point,Valravn,2023-02-26 05:32:18.541436,0:00:01.942220
Six Flags Over Texas,Judge Roy Scream,2023-02-26 05:34:57.272136,0:00:01.911655
Cedar Point,Blue Streak,2023-02-26 05:38:20.139624,0:00:03.824952
Kings Island,Orion,2023-02-26 05:39:02.331877,0:00:01.819164
Cedar Point,Blue Streak,2023-02-26 05:39:59.129247,0:00:03.840098
Six Flags Over Texas,Titan,2023-02-26 05:40:42.209224,0:00:02.448380
Six Flags Over Texas,New Texas Giant,2023-02-26 05:42:12.502909,0:00:02.583803
Cedar Point,Mystic Timbers,2023-02-26 05:42:58.619020,0:00:03.262274
Kings Island,Flight of Fear,2023-02-26 05:44:13.532847,0:00:03.335414
Cedar Point,Millennium Force,2023-02-26 05:45:29.471699,0:00:02.206198
Kings Island,Backlot Stunt Coaster,2023-02-26 05:45:50.341819,0:00:03.602769
Six Flags Over Texas,New Texas Giant,2023-02-26 05:46:25.131951,0:00:03.519578
Cedar Point,Valravn,2023-02-26 05:48:39.584863,0:00:02.760215
